cityweather.csv,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
77,-0.6,73.0833,81.98600000000008,76,35,5.78,1611978004
78,43.3236,145.575,30.2,86,75,3.6,1611978510
79,66.0449,-17.3389,26.6,86,90,7.72,1611978510
80,8.8667,5.4167,71.88800000000005,21,71,0.94,1611978510
81,43.7501,-81.7165,26.6,63,100,5.66,1611978511
82,13.6017,26.6876,58.64000000000002,32,0,7.93,1611978511
83,24.1447,67.4497,67.38800000000005,50,0,1.96,1611978511
84,66.9395,-53.6735,7.610000000000081,87,2,4.44,1611977989
85,-46.6,168.3333,54.05,74,0,6.71,1611978005
86,55.7435,-97.8558,10.399999999999999,85,90,2.06,1611978038
87,62.6683,131.1683,-42.10599999999998,76,86,0.92,1611978512
88,-32.5708,27.424,60.40400000000005,93,80,0.63,1611978512
89,51.226,-58.6502,12.649999999999999,91,26,5.25,1611978050
90,60.8156,-115.7999,-20.199999999999953,76,16,1.03,1611978158
91,-20.0167,148.2333,86.0,66,96,7.72,1611978513
92,-11.0964,-77.6139,70.934,76,80,3.07,1611978513
93,-30.2067,30.7978,75.00200000000008,96,57,2.13,1611978513
94,-12.9067,15.2533,57.992,78,75,0.56,1611978513
95,-33.295,-66.3356,68.0,73,75,10.29,1611978514
96,72.7868,-56.1549,-8.823999999999963,83,0,4.56,1611978069
97,59.7035,30.7861,30.991999999999997,93,90,4.0,1611977857
98,19.7297,-155.09,75.2,73,90,3.09,1611978258
99,67.5447,133.385,-40.50399999999995,77,96,0.09,1611978142
100,-0.9131,122.8766,84.75800000000001,58,100,0.48,1611978515
101,10.4703,-84.9671,78.80000000000001,57,0,10.29,1611978515
102,3.0707,172.7902,80.56400000000004,78,100,6.96,1611977859
103,-0.9492,100.3543,84.2,65,40,1.03,1611978015
104,21.3469,-158.0858,78.80000000000001,57,1,4.63,1611978516
105,53.9491,46.7042,26.312000000000058,97,86,6.45,1611978516
106,62.456,-114.3525,-18.003999999999955,76,1,2.57,1611977927
107,69.7008,170.3133,-30.423999999999964,85,18,1.81,1611978081
108,62.5833,6.1333,35.6,75,90,3.6,1611977841
109,68.8193,-51.1922,-0.39999999999994884,55,0,3.6,1611978389
110,69.3143,16.1194,23.0,74,90,5.66,1611978517
111,39.2446,55.5154,47.588000000000044,52,100,3.95,1611978109
112,-33.6971,-53.4616,67.24400000000009,92,2,0.54,1611977851
113,70.4692,-68.5914,-16.59999999999995,83,1,2.57,1611977955
114,64.8569,-147.8028,1.004000000000051,70,40,1.23,1611978148
115,25.0213,37.2685,62.81600000000001,48,0,4.81,1611978012
116,-3.5534,143.6268,85.4600000000001,69,100,4.56,1611978523
117,45.5234,-122.6762,44.99600000000005,76,90,3.6,1611978476
118,38.5167,-28.7,61.41200000000006,83,94,11.14,1611977883
119,65.8522,44.24,10.436000000000067,95,100,4.71,1611978526
120,-0.7393,-90.3518,77.0,95,38,4.02,1611978006
121,40.973,-117.7357,30.2,74,1,2.57,1611978526
122,71.9167,114.0833,-37.78599999999997,75,0,1.59,1611978014
123,26.326,43.975,48.2,71,0,2.06,1611978527
124,63.7506,-68.5145,-12.99999999999995,70,1,12.35,1611978527
125,41.0977,44.6732,39.2,93,90,1.54,1611978527
126,59.2353,163.0719,10.130000000000042,94,100,8.58,1611978527
127,-3.2397,35.4875,50.93600000000007,100,100,1.01,1611978527
128,-20.0064,57.6608,82.99400000000009,75,2,2.68,1611978100
129,11.6667,92.75,83.60600000000002,68,26,4.55,1611978482
130,4.9333,-52.3333,77.0,100,75,3.6,1611978084
131,-10.4389,-62.4664,73.81400000000004,95,99,1.23,1611978528
132,65.5833,-171.0,-18.507999999999953,81,0,4.4,1611978095
133,-16.4833,-151.75,81.23000000000005,67,100,2.13,1611977986
134,-33.918,25.5701,57.2,88,0,2.06,1611977982
135,20.8947,-156.47,75.2,69,40,8.75,1611978006
136,70.8578,29.0864,24.92600000000009,95,100,7.55,1611977856
137,-24.8667,113.6333,105.8,21,0,8.23,1611977987
138,-8.4667,140.3333,83.53399999999999,77,100,7.05,1611978530
139,33.9911,-6.8401,60.00800000000001,94,75,2.71,1611978530
140,58.3019,-134.4197,28.4,80,90,3.28,1611978312
141,-23.9,-56.5667,72.82400000000001,96,31,1.93,1611978531
142,-35.3333,-72.4167,60.51200000000006,94,100,4.33,1611977851
143,42.097,-79.2353,19.004000000000055,73,90,6.17,1611978236
144,70.3705,31.1107,26.258000000000003,97,100,9.72,1611978532
145,77.484,-69.3632,-13.323999999999963,63,0,2.33,1611977858
146,49.7834,-74.8492,-0.39999999999994884,78,90,4.63,1611978055
147,-19.8436,34.8389,78.80000000000001,94,40,1.54,1611978533
148,66.8333,70.8333,-38.32599999999994,82,38,2.04,1611978139
149,-42.7826,147.0587,71.99600000000005,64,75,4.63,1611977780
150,47.3,20.4833,41.0,87,0,5.14,1611978535
151,-22.6667,167.4833,76.28000000000004,75,31,8.91,1611978067
152,-2.5744,150.7967,84.542,76,100,6.52,1611978054
153,-45.5752,-72.0662,44.6,81,0,1.03,1611978075
154,-1.195,-46.02,79.66400000000004,80,95,4.14,1611978017
155,41.3712,-73.414,14.0,52,1,2.57,1611978536
